time,name,air_Pressure_mH2O,air_Temp_float,batt,channel_rssi,data_rate_index,dev_id,device_id,dist,forwarder_gateway_id,recieved_time,rssi,snr,spreading_factor,timestamp,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
2021-07-11 08:38:14.315993157,,10.307875633239746,26.189828872680664,4.189,-33,2,,,59.6,,,-33,11.8,10,,,,
2021-07-11 09:08:14.685746162,,10.30892276763916,26.29461479187012,4.187,-29,2,,,59.7,,,-29,9.5,10,,,,
2021-07-11 09:38:13.767684282,,10.309511184692383,26.363788604736328,4.188,-29,2,,,59.7,,,-29,9.5,10,,,,
2021-07-11 10:08:14.588604782,,10.308874130249023,26.71196556091309,4.189,-31,2,,,59.4,,,-31,8.0,10,,,,
2021-07-11 10:38:12.586854593,,10.308411598205566,27.072694778442386,4.187,-33,2,,,59.6,,,-33,7.0,10,,,,
2021-07-11 11:08:12.184883202,,10.307893753051758,27.54790687561035,4.189,-33,2,,,59.7,,,-33,11.5,10,,,,
2021-07-11 11:38:10.931785226,,10.308513641357422,27.829050064086914,4.188,-30,2,,,59.5,,,-30,8.5,10,,,,
2021-07-11 12:08:09.972368990,,10.308934211730957,27.959213256835934,4.186,-33,2,,,59.6,,,-33,7.2,10,,,,
2021-07-11 12:38:10.859591342,,10.308131217956543,28.60416984558105,4.185,-33,2,,,59.6,,,-33,10.5,10,,,,
2021-07-11 13:08:07.181675013,,10.30821704864502,29.810945510864254,4.187,-33,2,,,59.7,,,-33,12.5,10,,,,
2021-07-11 13:38:06.756393545,,10.307230949401855,28.749460220336914,4.184,-31,2,,,59.4,,,-31,9.8,10,,,,
2021-07-11 14:08:06.616251731,,10.306478500366213,28.472814559936523,4.183,-30,2,,,59.6,,,-30,9.5,10,,,,
2021-07-11 14:38:07.730915086,,10.306268692016602,28.41943359375,4.188,-33,2,,,59.7,,,-33,11.0,10,,,,
2021-07-11 15:38:03.977860877,,10.304957389831543,28.320653915405273,4.185,-30,2,,,59.5,,,-30,8.8,10,,,,
2021-07-11 16:08:03.563775344,,10.305618286132812,28.332054138183594,4.19,-31,2,,,59.4,,,-31,9.2,10,,,,
2021-07-11 16:38:02.300393173,,10.30694580078125,27.956283569335934,4.185,-29,2,,,59.4,,,-29,10.2,10,,,,
2021-07-11 17:07:59.993466312,,10.307931900024414,27.633153915405273,4.188,-30,2,,,59.6,,,-30,9.5,10,,,,
2021-07-11 17:38:01.787321085,,10.308581352233887,27.32531929016113,4.185,-31,2,,,59.7,,,-31,12.2,10,,,,
2021-07-11 18:08:02.079877220,,10.310760498046877,26.91804122924805,4.184,-31,2,,,59.7,,,-31,10.8,10,,,,
2021-07-11 18:37:58.914153117,,10.313010215759276,26.522724151611328,4.186,-34,2,,,59.7,,,-34,12.2,10,,,,
2021-07-11 19:08:00.798309894,,10.314926147460938,26.209806442260746,4.187,-31,2,,,59.5,,,-31,7.8,10,,,,
2021-07-11 19:37:58.594477759,,10.315105438232422,25.78049087524414,4.187,-31,2,,,59.4,,,-31,12.8,10,,,,
2021-07-11 20:07:58.816740100,,10.316180229187012,25.41769790649414,4.185,-34,2,,,59.5,,,-34,12.2,10,,,,
2021-07-11 20:37:57.057976521,,10.319177627563477,25.04544448852539,4.185,-34,2,,,59.9,,,-34,12.8,10,,,,
2021-07-11 21:07:57.251083888,,10.320515632629396,24.75799560546875,4.185,-33,2,,,59.6,,,-33,10.0,10,,,,
2021-07-11 21:37:57.274665031,,10.321052551269533,24.44714164733887,4.186,-34,2,,,59.3,,,-34,12.2,10,,,,
2021-07-11 22:07:53.833647728,,10.322185516357422,24.12651634216309,4.187,-31,2,,,59.6,,,-31,7.2,10,,,,
2021-07-11 22:37:54.200996841,,10.322431564331056,23.77383041381836,4.186,-30,2,,,59.7,,,-30,7.8,10,,,,
2021-07-11 23:07:53.445073726,,10.32477855682373,23.47360992431641,4.186,-30,2,,,59.7,,,-30,12.2,10,,,,
2021-07-11 23:37:53.220445889,,10.326539993286133,23.083105087280273,4.185,-33,2,,,59.7,,,-33,11.5,10,,,,
2021-07-12 00:07:52.405546973,,10.326739311218262,22.83059120178223,4.184,-31,2,,,59.7,,,-31,9.0,10,,,,
2021-07-12 00:37:52.058328662,,10.327627182006836,22.359434127807614,4.185,-31,2,,,59.6,,,-31,10.5,10,,,,
2021-07-12 01:07:52.315701352,,10.32808780670166,22.276412963867188,4.183,-33,2,,,59.6,,,-33,13.0,10,,,,
2021-07-12 01:37:50.018902621,,10.328853607177734,21.976520538330078,4.184,-33,2,,,59.7,,,-33,11.0,10,,,,
2021-07-12 02:07:48.929007006,,10.32816219329834,21.723716735839844,4.183,-30,2,,,59.5,,,-30,9.2,10,,,,
2021-07-12 02:37:50.583073375,,10.330768585205078,21.654844284057614,4.184,-30,2,,,59.6,,,-30,10.8,10,,,,
2021-07-12 03:07:47.266137902,,10.331703186035156,21.705190658569336,4.185,-29,2,,,59.5,,,-29,12.2,10,,,,
2021-07-12 03:37:47.853250319,,10.332155227661133,21.756017684936523,4.183,-30,2,,,59.4,,,-30,13.0,10,,,,
2021-07-12 05:07:47.687634734,,10.329421997070312,22.98381805419922,4.185,-34,2,,,59.4,,,-34,11.5,10,,,,
2021-07-12 05:37:45.862173402,,10.329010009765623,23.63625526428223,4.184,-33,2,,,59.5,,,-33,12.5,10,,,,
2021-07-12 06:07:46.830276559,,10.328779220581056,24.74225997924805,4.187,-30,2,,,59.6,,,-30,10.5,10,,,,
2021-07-12 06:37:42.780176698,,10.327903747558594,25.116811752319336,4.186,-33,2,,,59.6,,,-33,10.8,10,,,,
2021-07-12 07:07:43.207947470,,10.327780723571776,25.32831954956055,4.186,-29,2,,,59.5,,,-29,8.2,10,,,,
2021-07-12 07:37:42.114593166,,10.32659149169922,25.593151092529297,4.184,-31,2,,,59.4,,,-31,8.8,10,,,,
2021-07-12 08:07:43.014660664,,10.325727462768556,25.827411651611328,4.187,-30,2,,,59.5,,,-30,9.0,10,,,,
2021-07-12 08:37:41.062888469,,10.3250150680542,25.8620548248291,4.185,-31,2,,,59.4,,,-31,11.8,10,,,,
2021-07-12 09:07:38.782722331,,10.32448959350586,25.86779022216797,4.186,-31,2,,,59.6,,,-31,10.0,10,,,,
2021-07-12 09:37:38.709712086,,10.323477745056152,26.17023849487305,4.185,-31,2,,,59.1,,,-31,11.8,10,,,,
2021-07-12 10:07:37.720017844,,10.321976661682127,26.335693359375,4.181,-32,2,,,59.8,,,-32,11.8,10,,,,
2021-07-12 10:37:38.482303761,,10.320745468139648,26.43731117248535,4.183,-33,2,,,59.5,,,-33,10.0,10,,,,
